loan_id,application_date,issue_date,age,region,marital_status,income,employment_years,credit_score,requested_amount,approved_amount,term_months,num_previous_loans,num_previous_defaults,days_overdue_first60,payment_missed_30,collection_contacted,paid_interest_total,last_payment_date,contract_closed_reason,status_90days,target
1,2024-03-06,2024-03-06,70.0,Volga,single,4185.707776680419,48.191977584233676,,6978.450873809614,6774.080919270145,24,0,0,35,1,1,445.3654858802346,2024-04-03,DEFAULT,DEFAULT,1
2,2025-07-09,2025-07-19,60.0,West,single,5148.181625526467,32.92551352370073,630.5369225285908,9487.553638502344,9219.154938225955,12,3,1,0,0,0,1362.4015390434463,2026-07-05,PAID_OFF,OK,0
3,2025-04-20,2025-04-23,30.0,FarEast,married,,,813.20486654484,37375.37288691287,37375.37288691287,12,4,1,0,0,0,3349.8678868833704,2026-01-30,EARLY_REPAYMENT,OK,0
4,2024-11-06,2024-11-16,75.0,Volga,divorced,,61.0,556.3675801287305,24461.493613682665,24461.493613682665,12,0,0,46,0,1,3.663408886769025,2024-12-23,DEFAULT,IN_ARREARS,1
5,2024-11-04,2024-11-12,75.0,FarEast,divorced,5160.509884648324,53.63010855728157,,26211.69244566189,24676.841292192705,6,0,0,0,0,0,1884.145081180119,2025-01-23,PAID_OFF,OK,0
6,2025-09-16,2025-09-19,20.0,West,single,4690.939119705319,2.7380065404970297,,4525.657679228395,4386.682916050071,24,2,0,1,1,1,249.08866339605225,2025-09-25,DEFAULT,IN_ARREARS,1
7,2024-02-25,2024-03-03,19.0,NW,married,3300.3261982060576,0.0,596.1730974530091,27693.441491032696,23512.867986044184,24,1,0,3,1,1,637.5174571932954,2024-03-17,DEFAULT,DEFAULT,1
8,2025-05-24,2025-05-24,32.0,NW,married,3604.4999925105185,4.854834723237752,632.4595930008905,9955.184371791143,9143.744592838331,12,2,1,34,1,0,50.32363951787319,2025-06-15,DEFAULT,IN_ARREARS,1
9,2024-05-17,2024-05-27,64.0,West,married,5201.754106289469,26.416687875447987,672.0348821193656,30482.972889721674,30420.313032678652,36,0,0,4,1,0,2688.8934153047567,2024-06-24,DEFAULT,IN_ARREARS,1
10,2024-03-05,2024-03-09,52.0,Volga,single,2406.174905924638,28.415030142917,651.5969275088586,10586.008367818446,10586.008367818446,18,3,0,0,0,0,2231.2448311356825,2025-01-18,PAID_OFF,OK,0
11,2025-01-14,2025-01-19,47.0,Central,married,6029.743370152378,16.708367206212017,846.4471223034799,6514.576017624684,5465.394210459953,24,5,0,0,0,0,1001.4460761946801,2025-12-20,PAID_OFF,OK,0
12,2025-12-12,2025-12-14,42.0,,divorced,4642.764335573768,20.472346874299706,535.9264206237533,28495.12677079163,26072.550407712104,6,2,0,14,1,0,287.4279174068015,2026-01-31,DEFAULT,DEFAULT,1
13,2025-06-16,2025-06-21,45.0,Central,single,3503.9535504920505,16.53663309129302,624.6253704658365,11694.998174463157,11427.959473705107,18,0,0,43,1,1,424.6532550411829,2025-06-30,DEFAULT,IN_ARREARS,1
14,2025-07-05,2025-07-10,54.0,Siberia,single,7526.13154512849,34.339384820852004,694.2557383826032,4881.862168476314,4881.862168476314,12,1,0,0,0,1,427.12627468979986,2026-01-10,PAID_OFF,OK,0
15,2025-06-05,2025-06-08,21.0,Central,single,1832.3461306257168,7.0,453.61742209694535,5131.027769746201,4910.6602905489,12,3,1,56,0,1,96.29194060775772,2025-07-13,DEFAULT,DEFAULT,1
16,2025-07-14,2025-07-28,52.0,Ural,married,2780.610706881809,38.0,700.4415184488818,15444.558711166954,14079.732534287192,24,2,0,18,1,1,1040.9668975831178,2025-08-13,DEFAULT,DEFAULT,1
17,2025-01-06,2025-01-10,30.0,Volga,single,2488.3941158596162,9.602849927649165,748.0087429783289,7174.190223970608,7174.190223970608,12,1,0,0,0,0,712.926466173554,2025-12-18,PAID_OFF,OK,0
18,2024-04-01,2024-04-03,63.0,NW,single,4186.263172361623,40.94325294698865,626.2756119256662,10228.663252518289,10228.663252518289,24,0,0,0,0,0,1904.4778502949484,2025-01-10,EARLY_REPAYMENT,OK,0
19,2025-08-28,2025-09-05,29.0,NW,divorced,6321.582049025546,,601.4647903409559,66269.79616329953,65119.051072670176,36,3,1,16,1,1,768.330643255063,2025-09-28,RESTRUCTURED,DEFAULT,1
20,2024-11-21,2024-11-25,22.0,South,widowed,2140.955016723062,0.0,,6432.524883429039,5590.881412233293,12,2,0,0,0,0,978.7036481504721,2025-05-28,PAID_OFF,OK,0
21,2024-12-25,2024-12-31,43.0,FarEast,single,18274.59789006586,16.40691277693864,673.3333287652584,14704.853924854277,10809.65424134033,18,1,0,0,0,0,1183.0100854739087,2025-12-02,PAID_OFF,LATE_BUT_CURED,0
22,2024-09-18,2024-09-28,43.0,FarEast,single,2512.767713011162,28.412736240226625,659.9204887542519,2900.320676477683,2561.421428669085,18,3,0,0,0,0,281.3763846864367,2024-12-25,PAID_OFF,OK,0
23,2024-05-12,2024-05-13,48.0,Central,divorced,,24.040212264944266,691.887867969342,3503.462300963126,3290.720386639737,12,1,0,0,0,0,380.5384037101422,2025-02-23,PAID_OFF,OK,0
24,2025-11-01,2025-11-08,67.0,West,married,3504.704187901917,53.0,591.0082624224252,6759.986407056624,6456.056444035058,36,1,0,0,0,0,3002.4079957668428,2026-09-04,PAID_OFF,OK,0
25,2025-07-25,2025-07-25,58.0,Ural,single,3581.7131707692656,31.35618045354274,,10738.718843641473,10738.718843641473,24,2,0,24,1,0,714.2138326909507,2025-08-02,DEFAULT,IN_ARREARS,1
26,2025-04-15,2025-04-15,39.0,Central,civil_union,2355.0388550344956,16.295712440017812,641.1140557682874,8318.367489897246,7817.872433287855,24,2,1,0,0,0,2339.89899769853,2025-12-11,PAID_OFF,OK,0
27,2024-10-20,2024-10-21,60.0,Central,married,5968.742124306899,31.658553685196626,827.760386355349,8057.943812288175,7939.777307423328,24,0,0,0,0,0,1665.0669109354164,2025-08-11,PAID_OFF,OK,0
28,2025-08-22,2025-08-24,47.0,NW,married,2283.712346895616,27.661389303934296,579.4000206173774,39911.86763397659,39911.86763397659,12,1,0,24,0,1,928.4723259854856,2025-09-20,DEFAULT,IN_ARREARS,1
29,2025-01-28,2025-02-02,30.0,Central,single,1445.2732824167585,6.9858049276438425,748.7781132175785,4678.540532458145,4306.0223331073885,24,0,0,0,0,0,1509.8691180337955,2025-03-02,PAID_OFF,OK,0
30,2024-11-06,2024-11-20,19.0,North,single,1997.2360552524349,0.0,599.9198424440845,14866.11874411449,14252.785329888466,12,0,0,0,0,0,2141.723113839208,2025-04-09,PAID_OFF,OK,0
31,2024-11-12,2024-11-25,18.0,North,single,7209.652679952299,0.0,561.3966011681896,5604.536870443628,5435.629826025072,36,1,0,0,0,0,1873.6798206243684,2024-12-15,PAID_OFF,OK,0
32,2024-06-14,2024-06-15,31.0,Central,married,6540.398278057086,11.783224036227152,648.4696702222192,8245.771095334057,8245.771095334057,12,2,0,0,0,0,1368.7434714378019,2025-01-28,PAID_OFF,OK,0
33,2024-02-23,2024-03-08,65.0,NW,married,1282.9282071062244,46.35236136654624,,10994.088801500402,10994.088801500402,36,2,2,31,1,1,430.41076940353827,2024-03-30,DEFAULT,DEFAULT,1
34,2025-01-31,2025-02-09,44.0,North,married,5257.353523153386,26.155283704986303,675.0098566780097,6012.197983436462,6012.197983436462,24,3,1,0,0,0,1320.83889692144,2025-05-24,PAID_OFF,OK,0
35,2025-10-03,2025-10-11,44.0,West,married,1299.2621243791243,17.296533222422198,,44441.863116210145,44391.95609501218,12,1,0,39,1,1,164.83810296978422,2025-11-28,DEFAULT,DEFAULT,1
36,2024-02-05,2024-02-16,41.0,South,single,3452.674136248785,20.60484446149196,616.3225368466594,10574.70684339883,8469.152490064514,12,4,0,0,0,0,1318.1628005512482,2025-01-18,PAID_OFF,OK,0
37,2025-09-12,2025-09-19,32.0,East,married,,7.51300557309924,591.6589710397235,11039.25475127072,10225.206579203645,24,0,0,0,0,0,1436.1894416016476,2026-02-16,PAID_OFF,OK,0
38,2025-08-24,2025-08-27,59.0,NW,civil_union,5463.850366653456,43.64300417242946,718.3155653077166,11324.026660315101,9087.708510522978,6,0,0,0,0,0,539.9248872653643,2025-10-12,PAID_OFF,OK,0
39,2024-07-14,2024-07-21,18.0,West,divorced,,0.0,578.1678480771114,26251.901920801858,26251.901920801858,12,1,1,3,1,0,687.8336944250572,2024-08-09,DEFAULT,DEFAULT,1
